Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,0.13,0.13,0.13,0.13,1000,0.13
2015-02-12,0.12,0.12,0.10,0.10,60000,0.10
2015-02-11,0.11,0.11,0.11,0.11,000,0.11
2015-02-10,0.11,0.11,0.11,0.11,000,0.11
2015-02-09,0.11,0.11,0.11,0.11,000,0.11
2015-02-06,0.11,0.11,0.11,0.11,000,0.11
2015-02-05,0.11,0.11,0.11,0.11,000,0.11
2015-02-04,0.11,0.11,0.11,0.11,4200,0.11
2015-02-03,0.11,0.11,0.11,0.11,000,0.11
2015-02-02,0.11,0.11,0.11,0.11,000,0.11
2015-01-30,0.11,0.11,0.11,0.11,600,0.11
2015-01-29,0.13,0.13,0.13,0.13,500,0.13
2015-01-28,0.11,0.11,0.11,0.11,000,0.11
2015-01-27,0.11,0.11,0.11,0.11,000,0.11
2015-01-26,0.11,0.11,0.11,0.11,000,0.11
2015-01-23,0.11,0.11,0.11,0.11,000,0.11
2015-01-22,0.11,0.11,0.11,0.11,000,0.11
2015-01-21,0.11,0.11,0.11,0.11,2000,0.11
2015-01-20,0.12,0.12,0.12,0.12,000,0.12
2015-01-16,0.12,0.12,0.12,0.12,50000,0.12
2015-01-15,0.15,0.15,0.15,0.15,1000,0.15
2015-01-14,0.12,0.12,0.12,0.12,000,0.12
2015-01-13,0.12,0.12,0.12,0.12,2100,0.12
2015-01-12,0.15,0.15,0.12,0.12,4600,0.12
2015-01-09,0.15,0.15,0.15,0.15,1100,0.15
2015-01-08,0.12,0.12,0.12,0.12,000,0.12
2015-01-07,0.12,0.12,0.12,0.12,000,0.12
2015-01-06,0.12,0.12,0.12,0.12,000,0.12
2015-01-05,0.12,0.12,0.12,0.12,000,0.12
2015-01-02,0.12,0.12,0.12,0.12,000,0.12
2014-12-31,0.12,0.12,0.12,0.12,26100,0.12
2014-12-30,0.13,0.13,0.13,0.13,000,0.13
2014-12-29,0.13,0.13,0.13,0.13,000,0.13
2014-12-26,0.13,0.13,0.13,0.13,000,0.13
2014-12-24,0.12,0.13,0.12,0.13,500,0.13
2014-12-23,0.12,0.12,0.12,0.12,000,0.12
2014-12-22,0.12,0.12,0.12,0.12,000,0.12
2014-12-19,0.12,0.12,0.12,0.12,000,0.12
2014-12-18,0.12,0.12,0.12,0.12,000,0.12
2014-12-17,0.12,0.12,0.12,0.12,000,0.12
2014-12-16,0.12,0.12,0.12,0.12,000,0.12
2014-12-15,0.12,0.12,0.12,0.12,000,0.12
2014-12-12,0.12,0.12,0.12,0.12,20200,0.12
2014-12-11,0.12,0.12,0.12,0.12,200,0.12
2014-12-10,0.12,0.12,0.12,0.12,000,0.12
2014-12-09,0.12,0.12,0.12,0.12,102400,0.12
2014-12-08,0.13,0.13,0.13,0.13,000,0.13
2014-12-05,0.13,0.13,0.13,0.13,000,0.13
2014-12-04,0.14,0.14,0.13,0.13,20500,0.13
2014-12-03,0.13,0.13,0.13,0.13,000,0.13
2014-12-02,0.13,0.13,0.13,0.13,4100,0.13
2014-12-01,0.13,0.13,0.13,0.13,3000,0.13
2014-11-28,0.16,0.16,0.16,0.16,000,0.16
2014-11-26,0.16,0.16,0.16,0.16,300,0.16
2014-11-25,0.17,0.17,0.17,0.17,000,0.17
2014-11-24,0.17,0.17,0.17,0.17,200,0.17
2014-11-21,0.14,0.14,0.14,0.14,190100,0.14
2014-11-20,0.16,0.16,0.16,0.16,100000,0.16
2014-11-19,0.16,0.16,0.16,0.16,20000,0.16
2014-11-18,0.17,0.17,0.17,0.17,12200,0.17
2014-11-17,0.17,0.17,0.17,0.17,7000,0.17
2014-11-14,0.18,0.18,0.15,0.15,9400,0.15
2014-11-13,0.18,0.18,0.18,0.18,7700,0.18
